Anexos;[R];*;[I];Etapa atual;CAMPUS;Coligada do alarme;Código atendente alarmado;Coligada do representante;Representante;GRUPO ATENDIMENTO ATUAL;CODTIPOCURSO;TIPOCURSO;CURSO;PLETIVO;RELACIONADO1;SITUACAOALARME1;IMGSTATUS1;ANEXO1;Atendimento;Cliente;Código do Cliente;Tipo cliente;Coligada do cliente;Status;Etapa atual;Classificação;Assunto;Categoria;Descrição do produto;Atendente responsável;Prazo limite final;Prioridade;Abertura;Fechamento;Coligada;Localidade;Código do atendimento;Código do atendente responsável;Coligada do responsável;Código de classificação;Coligada do produto;Produto;Detalhe do produto;Categoria geral;Grupo de atendimento;Tipo de atendimento;Código da etapa atual;Campanha;Grupo/Fila;TIPO_ABERTURA
Z;;Z;R;Execução da solicitação;Secretaria Faculdade Marista de Recife;;;;;;33;GRADUAÇÃO - CATÓLICA RECIFE;Psicologia;2026/1;';Z;R;Z;1-1-8000065;ISABELA ALMEIDA ANDRADE;FR726323;ALUNO;1;Concluído a responder;Execução da solicitação;FR - Faculdade de Recife;Declaração de Bolsista;FR - Faculdade de Recife;Serviço de Protocolo - FR;CARLA CARDOSO AZEVEDO;;;11/05/2026 10:25;;1;1;8000065;795;1;00023;1;72;001;14;49;1587;4651;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;42;GRADUAÇÃO - CATÓLICA.;FISIOTERAPIA;2026/2;';Z;F;ANEXO;1-1-8000097;JOAO ALMEIDA ANDRADE;UC45803284;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;11/05/2026 06:25;18/05/2026 08:19;1;1;8000097;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;42;GRADUAÇÃO - CATÓLICA.;FONOAUDIOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000077;LARISSA ALMEIDA ANDRADE;UC73192338;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;13/04/2026 10:08;13/04/2026 12:31;1;1;8000077;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;42;GRADUAÇÃO - CATÓLICA.;FONOAUDIOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000099;LARISSA ALMEIDA ANDRADE;UC49803514;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;11/04/2026 09:45;15/04/2026 12:58;1;1;8000099;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;42;GRADUAÇÃO - CATÓLICA.;FISIOTERAPIA;2026/2;';Z;F;ANEXO;1-1-8000036;MARCOS ALMEIDA ANDRADE;UC25004292;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;06/04/2026 10:30;07/04/2026 15:21;1;1;8000036;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
Z;;Z;F;Atendimento indeferido;Universidade Católica de Brasília - UCB;;;;;;42;GRADUAÇÃO - CATÓLICA.;ADMINISTRAÇÃO;2026/2;';Z;F;Z;1-1-8000105;NATALIA ALMEIDA ANDRADE;UC16268658;ALUNO;1;Concluído confirmado;Atendimento indeferido;Processos de Solicitação UCB;UCB - Trancamento de Matrícula - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;06/04/2026 10:46;15/04/2026 12:58;1;1;8000105;795;1;00019;1;67;1;10;12;1706;5240;; ;WEB
ANEXO;;Z;C;Abertura de Atendimento para Aprovação sem Orçamen;;;;;;;;;;;';Z;C;ANEXO;1-1-8000070;;;;;Cancelado;Abertura de Atendimento para Aprovação sem Orçamen;GERAL;Aprovação de Movimentos;;;DANIEL CARDOSO AZEVEDO;;Normal;09/05/2026 09:14;15/05/2026 11:44;1;1;8000070;5612;1;00001;;;;;66;1775;5633;; ;PRESECIAL
ANEXO;;Z;F;Conclusão do Atendimento;CECMA;;;;;;44;CENTRO EDUCACIONAL CATÓLICA MACHADO DE ASSIS - CECMA;ENSINO FUNDAMENTAL I;2026;';Z;F;ANEXO;1-1-8000025;OTAVIO ALMEIDA ANDRADE;68597677;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;Colégio Católica Machado de Assis;CECMA - 2ª Chamada de Prova;CECMA - Protocolo;CECMA - Protocolo de Solicitação;CARLA CARDOSO AZEVEDO;;Normal;07/06/2026 10:55;11/06/2026 16:31;1;1;8000025;795;1;00027;1;74;01;16;65;1650;4899;; ;WEB
Z;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;;42;GRADUAÇÃO - CATÓLICA.;CIÊNCIA DA COMPUTAÇÃO;2026/2;';Z;F;Z;1-1-8000021;PATRICIA ALMEIDA ANDRADE;UC72690796;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;27/03/2026 10:48;06/04/2026 18:33;1;1;8000021;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
Z;;Z;A;Aguardando Pagamento;CECMA;;;;;;44;CENTRO EDUCACIONAL CATÓLICA MACHADO DE ASSIS - CECMA;ENSINO FUNDAMENTAL II;2026;';Z;A;Z;1-1-8000054;RAFAEL ALMEIDA ANDRADE;61296318;ALUNO;1;Em andamento;Aguardando Pagamento;Colégio Católica Machado de Assis;CECMA - 2ª Chamada de Prova;CECMA - Protocolo;CECMA - Protocolo de Solicitação;CARLA CARDOSO AZEVEDO;;;10/06/2026 13:20;;1;1;8000054;795;1;00027;1;74;01;16;65;1650;4901;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;;35;STRICTO SENSU - CATÓLICA;EDUCAÇÃO;2026/1;';Z;F;ANEXO;1-1-8000082;SOFIA ALMEIDA ANDRADE;UC69542992;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - PÓS;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;01/04/2026 13:29;11/04/2026 16:58;1;1;8000082;795;1;00019;1;67;1;10;41;1723;5324;; ;WEB
ANEXO;;Z;F;Abertura de Atendimento para Aprovação sem Orçamen;;;;;;;;;;;';Z;F;ANEXO;1-1-8000089;;;;;Concluído confirmado;Abertura de Atendimento para Aprovação sem Orçamen;GERAL;Aprovação de Movimentos;;;ELISA CARDOSO AZEVEDO;;Normal;03/04/2026 11:02;;1;1;8000089;8912;1;00001;;;;;66;1775;5633;; ;PRESECIAL
Z;;Z;A;Aguardando Pagamento;CECMA;;;;;;44;CENTRO EDUCACIONAL CATÓLICA MACHADO DE ASSIS - CECMA;ENSINO FUNDAMENTAL I;2026;';Z;A;Z;1-1-8000076;THIAGO ALMEIDA ANDRADE;36925976;ALUNO;1;Em andamento;Aguardando Pagamento;Colégio Católica Machado de Assis;CECMA - 2ª Chamada de Prova;CECMA - Protocolo;CECMA - Protocolo de Solicitação;CARLA CARDOSO AZEVEDO;;;04/04/2026 10:20;;1;1;8000076;795;1;00027;1;74;01;16;65;1650;4901;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;;35;STRICTO SENSU - CATÓLICA;POLÍTICAS PÚBLICAS;2026/1;';Z;F;ANEXO;1-1-8000043;VANESSA ALMEIDA ANDRADE;UC72582393;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - PÓS;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;23/04/2026 10:29;27/04/2026 10:54;1;1;8000043;795;1;00019;1;67;1;10;41;1723;5324;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;;35;STRICTO SENSU - CATÓLICA;POLÍTICAS PÚBLICAS;2026/1;';Z;F;ANEXO;1-1-8000113;VANESSA ALMEIDA ANDRADE;UC29312674;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - PÓS;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;13/04/2026 14:13;14/04/2026 20:38;1;1;8000113;795;1;00019;1;67;1;10;41;1723;5324;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;42;GRADUAÇÃO - CATÓLICA.;LETRAS - INGLÊS;2026/2;';Z;F;ANEXO;1-1-8000093;WILLIAM ALMEIDA ANDRADE;UC09424517;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;29/03/2026 10:56;05/04/2026 14:22;1;1;8000093;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;;35;STRICTO SENSU - CATÓLICA;POLÍTICAS PÚBLICAS;2026/1;';Z;F;ANEXO;1-1-8000100;VANESSA ALMEIDA ANDRADE;UC19111020;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - PÓS;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;13/03/2026 10:19;14/03/2026 14:46;1;1;8000100;795;1;00019;1;67;1;10;41;1723;5324;; ;WEB
Z;;Z;R;Execução da solicitação;Secretaria Faculdade Marista de Recife;;;;;;33;GRADUAÇÃO - CATÓLICA RECIFE;Psicologia;2026/1;';Z;R;Z;1-1-8000055;YASMIN ALMEIDA ANDRADE;FR642394;ALUNO;1;Concluído a responder;Execução da solicitação;FR - Faculdade de Recife;Declaração de Bolsista;FR - Faculdade de Recife;Serviço de Protocolo - FR;CARLA CARDOSO AZEVEDO;;;10/06/2026 09:30;;1;1;8000055;795;1;00023;1;72;001;14;49;1587;4651;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;;;;;;;28;GRADUAÇÃO - UNILESTE - IPATINGA;ENFERMAGEM;2026/1;';Z;F;ANEXO;1-1-8000040;MARIANA ALMEIDA ANDRADE;60460850;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;31/05/2026 13:35;06/06/2026 18:31;1;1;8000040;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;37;GRADUAÇÃO - CATÓLICA;MEDICINA VETERINÁRIA;2026/1;';Z;F;ANEXO;1-1-8000086;RODRIGO ALMEIDA ANDRADE;UC69509019;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;29/04/2026 15:49;07/05/2026 21:45;1;1;8000086;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;354;42;GRADUAÇÃO - CATÓLICA.;CIÊNCIAS CONTÁBEIS;2026/2;';Z;F;ANEXO;1-1-8000106;LETICIA ALMEIDA ANDRADE;UC47921060;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;21/03/2026 11:39;29/03/2026 16:01;1;1;8000106;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;PSICOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000091;CAIO ALMEIDA ANDRADE;A14585490;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;30/04/2026 15:50;04/05/2026 22:54;1;1;8000091;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;;;;;;;28;GRADUAÇÃO - UNILESTE - IPATINGA;FISIOTERAPIA;2026/1;';Z;F;ANEXO;1-1-8000126;ANA BARBOSA ANDRADE;99062675;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;11/05/2026 14:14;18/05/2026 16:10;1;1;8000126;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;ADMINISTRAÇÃO;2026/1;';Z;F;ANEXO;1-1-8000118;BRUNO BARBOSA ANDRADE;A41626338;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;11/04/2026 15:00;17/04/2026 16:19;1;1;8000118;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;;;;;;;28;GRADUAÇÃO - UNILESTE - IPATINGA;FISIOTERAPIA;2026/1;';Z;F;ANEXO;1-1-8000064;ANA BARBOSA ANDRADE;58269694;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;07/05/2026 14:41;16/05/2026 19:17;1;1;8000064;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;42;GRADUAÇÃO - CATÓLICA.;FONOAUDIOLOGIA;2026/2;';Z;F;ANEXO;1-1-8000063;CARLA BARBOSA ANDRADE;UC78007808;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;02/06/2026 14:51;09/06/2026 17:13;1;1;8000063;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;42;GRADUAÇÃO - CATÓLICA.;BIOMEDICINA;2025/2;';Z;F;ANEXO;1-1-8000051;DANIEL BARBOSA ANDRADE;UC39095495;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;31/03/2026 15:02;09/04/2026 18:41;1;1;8000051;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;42;GRADUAÇÃO - CATÓLICA.;BIOMEDICINA;2025/2;';Z;F;ANEXO;1-1-8000042;DANIEL BARBOSA ANDRADE;UC02887916;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;05/04/2026 16:03;05/04/2026 17:53;1;1;8000042;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;CIÊNCIAS CONTÁBEIS;2026/1;';Z;F;ANEXO;1-1-8000061;ELISA BARBOSA ANDRADE;A80137836;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega de Estágio Em Empresa Com Vínculo;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;21/05/2026 15:34;23/05/2026 17:45;1;1;8000061;795;1;00017;1;64;001;8;48;1512;4321;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;354;42;GRADUAÇÃO - CATÓLICA.;CIÊNCIAS CONTÁBEIS;2026/2;';Z;F;ANEXO;1-1-8000047;FELIPE BARBOSA ANDRADE;UC90500298;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;26/04/2026 18:01;05/05/2026 01:55;1;1;8000047;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;CIÊNCIAS CONTÁBEIS;2026/1;';Z;F;ANEXO;1-1-8000134;GABRIELA BARBOSA ANDRADE;A51745219;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;21/03/2026 15:54;23/03/2026 21:37;1;1;8000134;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000137;HENRIQUE BARBOSA ANDRADE;UC50048104;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;06/06/2026 14:21;15/06/2026 18:46;1;1;8000137;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;CIÊNCIAS CONTÁBEIS;2026/1;';Z;F;ANEXO;1-1-8000133;GABRIELA BARBOSA ANDRADE;A26305125;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;02/05/2026 17:59;05/05/2026 00:37;1;1;8000133;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Abertura de Atendimento para Aprovação sem Orçamen;;;;;;;;;;;';Z;F;ANEXO;1-1-8000094;;;;;Concluído confirmado;Abertura de Atendimento para Aprovação sem Orçamen;GERAL;Aprovação de Movimentos;;;FELIPE CARDOSO AZEVEDO;;Normal;17/03/2026 15:40;;1;1;8000094;9716;1;00001;;;;;66;1775;5633;; ;PRESECIAL
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;42;GRADUAÇÃO - CATÓLICA.;CIÊNCIAS ECONÔMICAS;2026/2;';Z;F;ANEXO;1-1-8000058;ISABELA BARBOSA ANDRADE;UC40657983;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;19/03/2026 14:58;25/03/2026 17:35;1;1;8000058;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;A;Execução da solicitação;Secretaria Acadêmica;;;;;;33;GRADUAÇÃO - CATÓLICA RECIFE;Direito;2026/1;';Z;A;ANEXO;1-1-8000108;JOAO BARBOSA ANDRADE;FR261550;ALUNO;1;Em andamento;Execução da solicitação;FR - Faculdade de Recife;Solicitação Abono de Falta;FR - Faculdade de Recife;Serviço de Protocolo - FR;GABRIELA CARDOSO AZEVEDO;;;25/05/2026 14:23;;1;1;8000108;3346;1;00023;1;72;001;14;49;868;177;; ;WEB
ANEXO;;Z;F;APROVADO;;;;;;;;;;;';Z;F;ANEXO;1-1-8000059;PRIME DISTRIBUIDORA LTDA;CF04624872;CLIENTE;1;Concluído confirmado;APROVADO;GERAL;Aprovação de Movimentos;;;HENRIQUE CARDOSO AZEVEDO;;Normal;05/06/2026 14:35;;1;1;8000059;1933;1;00001;;;;;66;1776;5641;; ;PRESECIAL
